;8;127;10;10
Token;LOC;PER;ORG;MISC
LA;;;;
FABRIOUE;;;;
EE;;;;
Je;;;;
suis;;;;
ne;;;;
le;;;;
rg;;;;
mai;;;;
8;;;;
...;;;;
,;;;;
dans;;;;
une;;;;
ville;;;;
du;X;;;
Languedoc;X;;;
,;;;;
oi;;;;
l';;;;
on;;;;
trouve;;;;
,;;;;
comme;;;;
dans;;;;
toutes;;;;
les;;;;
villes;;;;
du;X;;;
Midi;X;;;
,;;;;
beaucoup;;;;
de;;;;
soleil;;;;
,;;;;
pas;;;;
mal;;;;
de;;;;
poussiere;;;;
,;;;;
un;;;;
couvent;;;;
de;;;;
Carmelites;;;X;
et;;;;
deux;;;;
ou;;;;
trois;;;;
monuments;;;;
romains;;;;
.;;;;
Mon;;;;
pere;;;;
,;;;;
M.;;X;;
Eyssette;;X;;
,;;;;
qui;;;;
faisait;;;;
a;;;;
cette;;;;
epoque;;;;
le;;;;
commerce;;;;
des;;;;
foulards;;;;
,;;;;
avait;;;;
,;;;;
aux;;;;
portes;;;;
de;;;;
la;;;;
ville;;;;
,;;;;
une;;;;
grande;;;;
fabrique;;;;
dans;;;;
un;;;;
pan;;;;
de;;;;
laquelle;;;;
il;;;;
s';;;;
etait;;;;
taille;;;;
une;;;;
habitation;;;;
commode;;;;
,;;;;
tout;;;;
ombragee;;;;
de;;;;
platanes;;;;
et;;;;
separee;;;;
des;;;;
ateliers;;;;
par;;;;
un;;;;
vaste;;;;
jardin;;;;
.;;;;
C';;;;
est;;;;
la;;;;
que;;;;
je;;;;
suis;;;;
venu;;;;
au;;;;
monde;;;;
et;;;;
que;;;;
j';;;;
ai;;;;
passe;;;;
les;;;;
premieres;;;;
,;;;;
les;;;;
seules;;;;
bonnes;;;;
annees;;;;
de;;;;
ma;;;;
vie;;;;
.;;;;
Aussi;;;;
ma;;;;
memoire;;;;
reconnaissante;;;;
a;;;;
-t;;;;
-elle;;;;
garde;;;;
du;;;;
jardin;;;;
de;;;;
la;;;;
fabrique;;;;
et;;;;
des;;;;
platanes;;;;
un;;;;
imperissable;;;;
souvenir;;;;
,;;;;
et;;;;
lorsqu';;;;
a;;;;
la;;;;
ruine;;;;
de;;;;
mes;;;;
parents;;;;
il;;;;
m';;;;
a;;;;
fallu;;;;
me;;;;
separer;;;;
de;;;;
ces;;;;
choses;;;;
,;;;;
je;;;;
les;;;;
ai;;;;
positivement;;;;
regrettees;;;;
comme;;;;
des;;;;
etres;;;;
.;;;;
Source;;;;
gallica.bnf.fr;;;;
Bibliotheque;;;;
nationale;;;;
de;;;;
FranceLE;;;;
PETIT;;;;
CHOSE;;;;
Je;;;;
dois;;;;
dire;;;;
,;;;;
pour;;;;
commencer;;;;
,;;;;
que;;;;
ma;;;;
naissance;;;;
ne;;;;
porta;;;;
pas;;;;
bonheur;;;;
a;;;;
la;;;X;
maison;;;X;
Eyssette;;;X;
.;;;;
La;;X;;
vieille;;X;;
Annou;;X;;
,;;;;
notre;;;;
cuisiniere;;;;
,;;;;
m';;;;
a;;;;
souvent;;;;
conte;;;;
depuis;;;;
comme;;;;
quoi;;;;
mon;;;;
pere;;;;
,;;;;
en;;;;
voyage;;;;
a;;;;
ce;;;;
moment;;;;
,;;;;
recut;;;;
en;;;;
meme;;;;
temps;;;;
la;;;;
nouvelle;;;;
de;;;;
mon;;;;
apparition;;;;
dans;;;;
le;;;;
monde;;;;
et;;;;
celle;;;;
de;;;;
la;;;;
disparition;;;;
d';;;;
un;;;;
de;;;;
ses;;;;
clients;;;;
de;;;;
Marseille;X;;;
,;;;;
qui;;;;
lui;;;;
emportait;;;;
plus;;;;
de;;;;
quarante;;;;
mille;;;;
francs;;;;
	;;;;
si;;;;
bien;;;;
que;;;;
M.;;X;;
Eyssette;;X;;
,;;;;
heureux;;;;
et;;;;
desole;;;;
du;;;;
meme;;;;
coup;;;;
,;;;;
se;;;;
demandait;;;;
,;;;;
comme;;;;
l';;;;
autre;;;;
,;;;;
s';;;;
il;;;;
devait;;;;
pleurer;;;;
pour;;;;
la;;;;
disparition;;;;
du;;;;
client;;;;
de;;;;
Marseille;X;;;
,;;;;
ou;;;;
rire;;;;
pour;;;;
l';;;;
heureuse;;;;
arrivee;;;;
du;;;;
petit;;;;
Daniel;;X;;
