Token;Label
I;
Jeanne;B-PER
;
ayant;
fini;
ses;
malles;
;
s';
approcha;
de;
la;
fenêtre;
;
mais;
la;
pluie;
ne;
cessait;
pas;
.;
L';
averse;
;
toute;
la;
nuit;
;
avait;
sonné;
contre;
les;
carreaux;
et;
les;
toits;
.;
Le;
ciel;
;
bas;
et;
chargé;
d';
eau;
;
semblait;
crevé;
;
se;
vidant;
sur;
la;
terre;
;
la;
délayant;
en;
bouillie;
;
la;
fondant;
comme;
du;
sucre;
.;
Des;
rafales;
passaient;
;
pleines;
d';
une;
chaleur;
lourde;
.;
Le;
ronflement;
des;
ruisseaux;
débordés;
emplissait;
les;
rues;
désertes;
où;
les;
maisons;
;
comme;
des;
éponges;
;
buvaient;
l';
humidité;
qui;
pénétrait;
au;
-;
dedans;
et;
faisait;
suer;
les;
murs;
de;
la;
cave;
au;
grenier;
.;
Jeanne;B-PER
;
sortie;
la;
veille;
du;
couvent;
;
libre;
enfin;
pour;
toujours;
;
prête;
à;
saisir;
tous;
les;
bonheurs;
de;
la;
vie;
dont;
elle;
rêvait;
depuis;
si;
longtemps;
;
craignait;
que;
son;
père;
hésitât;
à;
partir;
si;
le;
temps;
ne;
s';
éclaircissait;
pas;
;
et;
pour;
la;
centième;
fois;
depuis;
le;
matin;
elle;
interrogeait;
l';
horizon;
.;
Puis;
;
elle;
s';
aperçut;
qu';
elle;
avait;
oublié;
de;
mettre;
son;
calendrier;
dans;
son;
sac;
de;
voyage;
.;
Elle;
cueillit;
sur;
le;
mur;
le;
petit;
carton;
divisé;
par;
mois;
;
et;
portant;
au;
milieu;
d';
un;
dessin;
la;
date;
de;
l';
année;
courante;
;
1819;B-MISC
;
en;
chiffres;
d';
or;
.;
Puis;
;
elle;
biffa;
à;
coups;
de;
crayon;
les;
quatre;
premières;
colonnes;
;
rayant;
chaque;
nom;
de;
saint;
jusqu';
au;B-MISC
2;I-MISC
mai;I-MISC
;
jour;
de;
sa;
sortie;
du;
couvent;
.;
Une;
voix;
;
derrière;
la;
porte;
;
appela;
:;
«;
Jeannette;B-PER
!;
»;
Jeanne;B-PER
répondit;
:;
«;
Entre;
;
papa;
.;
»;
Et;
son;
père;
parut;
.;
Le;B-PER
baron;I-PER
Simon;I-PER
-;I-PER
Jacques;I-PER
Le;I-PER
Perthuis;I-PER
des;I-PER
Vauds;I-PER
était;
un;
gentilhomme;
de;
l';
autre;
siècle;
;
maniaque;
et;
bon;
.;
Disciple;
enthousiaste;
de;
J.;B-PER
-J.;I-PER
Rousseau;I-PER
;
il;
avait;
des;
tendresses;
d';
amant;
pour;
la;
nature;
;
les;
champs;
;
les;
bois;
;
les;
bêtes;
.;
Aristocrate;
de;
naissance;
;
il;
haïssait;
par;
instinct;
quatre-vingt-treize;B-MISC
;
mais;
;
philosophe;
par;
tempérament;
et;
libéral;
par;
éducation;
;
il;
exécrait;
la;
tyrannie;
d';
une;
haine;
inoffensive;
et;
déclamatoire;
.;
Sa;
grande;
force;
et;
sa;
grande;
faiblesse;
;
c';
était;
la;
bonté;
;
une;
bonté;
qui;
n';
avait;
pas;
assez;
de;
bras;
pour;
caresser;
;
pour;
donner;
;
pour;
étreindre;
;
une;
bonté;
de;
créateur;
;
éparse;
;
sans;
résistance;
;
comme;
l';
engourdissement;
d';
un;
nerf;
de;
la;
volonté;
;
une;
lacune;
dans;
l';
énergie;
;
presque;
un;
vice;
.;
Homme;
de;
théorie;
;
il;
méditait;
tout;
un;
plan;
d';
éducation;
pour;
sa;
fille;
;
voulant;
la;
faire;
heureuse;
;
bonne;
;
droite;
et;
tendre;
.;
Elle;
était;
demeurée;
